Order_ID;Method;Status
O02543;COD;Failed
O02544;QRIS;Paid
O02545;COD;Paid
O02546;COD;Paid
O02547;QRIS;Paid
O02548;E-Wallet;Failed
O02549;E-Wallet;Paid
O02550;Credit Card;Paid
O02551;Credit Card;Paid
O02552;COD;Paid
O02553;QRIS;Paid
O02554;QRIS;Paid
O02555;Transfer;Paid
O02556;E-Wallet;Paid
O02557;Credit Card;Paid
O02558;Transfer;Failed
O02559;Transfer;Paid
O02560;Credit Card;Paid
O02561;QRIS;Paid
O02562;COD;Failed
O02563;COD;Paid
O02564;QRIS;Paid
O02565;COD;Paid
O02566;QRIS;Paid
O02567;E-Wallet;Paid
O02568;COD;Paid
O02569;Credit Card;Paid
O02570;Credit Card;Failed
O02571;Credit Card;Paid
O02572;Transfer;Paid
O02573;Credit Card;Paid
O02574;Transfer;Failed
O02575;E-Wallet;Failed
O02576;COD;Paid
O02577;COD;Failed
O02578;E-Wallet;Paid
O02579;Transfer;Failed
O02580;QRIS;Paid
O02581;COD;Failed
O02582;COD;Paid
O02583;Credit Card;Paid
O02584;QRIS;Paid
O02585;COD;Failed
O02586;Transfer;Paid
O02587;QRIS;Paid
O02588;QRIS;Paid
O02589;Credit Card;Paid
O02590;E-Wallet;Paid
O02591;Transfer;Paid
O02592;E-Wallet;Paid
O02593;Credit Card;Paid
O02594;QRIS;Paid
O02595;Transfer;Paid
O02596;Credit Card;Paid
O02597;Credit Card;Paid
O02598;COD;Paid
O02599;Credit Card;Paid
O02600;COD;Paid
O02601;COD;Failed
O02602;QRIS;Paid
O02603;Credit Card;Failed
O02604;COD;Paid
O02605;QRIS;Paid
O02606;Credit Card;Paid
O02607;Credit Card;Paid
O02608;QRIS;Paid
O02609;Transfer;Paid
O02610;Credit Card;Paid
O02611;COD;Failed
O02612;E-Wallet;Paid
O02613;E-Wallet;Paid
O02614;QRIS;Paid
O02615;COD;Paid
O02616;Credit Card;Failed
O02617;Transfer;Paid
O02618;Credit Card;Paid
O02619;Credit Card;Failed
O02620;QRIS;Paid
O02621;Credit Card;Paid
O02622;E-Wallet;Failed
O02623;QRIS;Paid
O02624;E-Wallet;Failed
O02625;Credit Card;Paid
O02626;E-Wallet;Paid
O02627;Transfer;Paid
O02628;E-Wallet;Paid
O02629;Transfer;Paid
O02630;E-Wallet;Paid
O02631;COD;Paid
O02632;E-Wallet;Failed
O02633;E-Wallet;Paid
O02634;Transfer;Paid
O02635;Transfer;Paid
O02636;E-Wallet;Paid
O02637;Credit Card;Paid
O02638;Credit Card;Paid
O02639;Credit Card;Paid
O02640;E-Wallet;Failed
O02641;COD;Paid
O02642;COD;Paid
O02643;Credit Card;Paid
O02644;Transfer;Paid
O02645;Credit Card;Paid
O02646;E-Wallet;Failed
O02647;COD;Failed
O02648;Credit Card;Paid
O02649;QRIS;Paid
O02650;E-Wallet;Paid
O02651;Transfer;Paid
O02652;Transfer;Paid
O02653;Credit Card;Paid
O02654;Credit Card;Paid
O02655;Credit Card;Paid
O02656;Credit Card;Failed
O02657;Credit Card;Paid
O02658;COD;Paid
O02659;COD;Paid
O02660;COD;Paid
O02661;Transfer;Paid
O02662;E-Wallet;Paid
O02663;QRIS;Paid
O02664;QRIS;Paid
O02665;COD;Failed
O02666;E-Wallet;Paid
O02667;QRIS;Failed
O02668;Credit Card;Paid
O02669;E-Wallet;Paid
O02670;Credit Card;Failed
O02671;E-Wallet;Paid
O02672;Credit Card;Failed
O02673;Credit Card;Failed
O02674;COD;Failed
O02675;QRIS;Paid
O02676;COD;Failed
O02677;E-Wallet;Paid
O02678;E-Wallet;Paid
O02679;COD;Paid
O02680;COD;Paid
O02681;E-Wallet;Paid
O02682;E-Wallet;Paid
O02683;Credit Card;Failed
O02684;E-Wallet;Paid
O02685;QRIS;Paid
O02686;COD;Failed
O02687;QRIS;Paid
O02688;E-Wallet;Paid
O02689;QRIS;Paid
O02690;COD;Paid
O02691;QRIS;Paid
O02692;QRIS;Paid
O02693;Transfer;Paid
O02694;Transfer;Paid
O02695;QRIS;Paid
O02696;QRIS;Paid
O02697;COD;Paid
O02698;COD;Failed
O02699;E-Wallet;Failed
O02700;QRIS;Paid
O02701;COD;Paid
O02702;Transfer;Paid
O02703;E-Wallet;Paid
O02704;Transfer;Failed
O02705;Transfer;Paid
O02706;Credit Card;Paid
O02707;QRIS;Paid
O02708;COD;Failed
O02709;Credit Card;Paid
O02710;E-Wallet;Paid
O02711;Credit Card;Paid
O02712;Transfer;Paid
O02713;QRIS;Paid
O02714;Credit Card;Paid
O02715;COD;Failed
O02716;QRIS;Paid
O02717;Credit Card;Paid
O02718;Transfer;Paid
O02719;Credit Card;Paid
O02720;COD;Paid
O02721;E-Wallet;Paid
O02722;Transfer;Paid
O02723;Transfer;Paid
O02724;Credit Card;Failed
O02725;Transfer;Paid
O02726;COD;Failed
O02727;E-Wallet;Failed
O02728;E-Wallet;Paid
O02729;Transfer;Paid
O02730;COD;Paid
O02731;Transfer;Paid
O02732;Credit Card;Paid
O02733;Transfer;Paid
O02734;COD;Failed
O02735;E-Wallet;Paid
O02736;QRIS;Paid
O02737;COD;Failed
O02738;Transfer;Paid
O02739;Credit Card;Paid
O02740;Transfer;Paid
O02741;Credit Card;Paid
O02742;COD;Paid
O02743;QRIS;Failed
O02744;QRIS;Failed
O02745;QRIS;Paid
O02746;Transfer;Failed
O02747;Credit Card;Failed
O02748;QRIS;Paid
O02749;Transfer;Paid
O02750;Credit Card;Paid
O02751;QRIS;Paid
O02752;QRIS;Paid
O02753;QRIS;Failed
O02754;COD;Paid
O02755;E-Wallet;Paid
O02756;Transfer;Failed
O02757;Transfer;Failed
O02758;COD;Paid
O02759;Transfer;Paid
O02760;COD;Paid
O02761;COD;Paid
O02762;Transfer;Failed
O02763;QRIS;Paid
O02764;COD;Failed
O02765;Credit Card;Paid
O02766;QRIS;Paid
O02767;E-Wallet;Failed
O02768;COD;Failed
O02769;COD;Paid
O02770;COD;Paid
O02771;E-Wallet;Paid
O02772;QRIS;Paid
O02773;E-Wallet;Paid
O02774;Transfer;Paid
O02775;COD;Paid
O02776;Credit Card;Paid
O02777;E-Wallet;Failed
O02778;E-Wallet;Failed
O02779;E-Wallet;Paid
O02780;Credit Card;Paid
O02781;Credit Card;Paid
O02782;Transfer;Paid
O02783;Transfer;Failed
O02784;QRIS;Paid
O02785;Credit Card;Paid
O02786;E-Wallet;Failed
O02787;COD;Paid
O02788;Transfer;Paid
O02789;E-Wallet;Paid
O02790;Transfer;Paid
O02791;COD;Paid
O02792;Transfer;Failed
O02793;E-Wallet;Paid
O02794;Transfer;Paid
O02795;E-Wallet;Paid
O02796;E-Wallet;Failed
O02797;COD;Paid
O02798;Transfer;Paid
O02799;Credit Card;Paid
O02800;COD;Paid
O02801;Transfer;Paid
O02802;Transfer;Paid
O02803;E-Wallet;Paid
O02804;QRIS;Failed
O02805;QRIS;Paid
O02806;E-Wallet;Failed
O02807;COD;Failed
O02808;Transfer;Paid
O02809;E-Wallet;Paid
O02810;E-Wallet;Paid
O02811;Transfer;Paid
O02812;Credit Card;Failed
O02813;Credit Card;Failed
O02814;COD;Failed
O02815;Credit Card;Paid
O02816;QRIS;Paid
O02817;QRIS;Paid
O02818;Transfer;Paid
O02819;COD;Paid
O02820;E-Wallet;Paid
O02821;E-Wallet;Paid
O02822;E-Wallet;Failed
O02823;QRIS;Paid
O02824;COD;Paid
O02825;Transfer;Paid
O02826;COD;Paid
O02827;COD;Failed
O02828;COD;Paid
O02829;QRIS;Failed
O02830;Transfer;Paid
O02831;E-Wallet;Paid
O02832;QRIS;Failed
O02833;COD;Paid
O02834;COD;Paid
O02835;E-Wallet;Paid
O02836;COD;Paid
O02837;Credit Card;Paid
O02838;QRIS;Paid
O02839;Transfer;Paid
O02840;COD;Failed
O02841;QRIS;Paid
O02842;Transfer;Failed
O02843;E-Wallet;Paid
O02844;QRIS;Paid
O02845;COD;Failed
O02846;QRIS;Paid
O02847;Credit Card;Paid
O02848;E-Wallet;Failed
O02849;E-Wallet;Paid
O02850;E-Wallet;Paid
O02851;E-Wallet;Paid
O02852;Credit Card;Paid
O02853;Transfer;Paid
O02854;COD;Paid
O02855;COD;Paid
O02856;COD;Paid
O02857;Credit Card;Paid
O02858;Credit Card;Paid
O02859;Transfer;Paid
O02860;Transfer;Paid
O02861;Transfer;Paid
O02862;Credit Card;Failed
O02863;COD;Failed
O02864;E-Wallet;Paid
O02865;Transfer;Failed
O02866;QRIS;Paid
O02867;COD;Failed
O02868;Transfer;Paid
O02869;COD;Failed
O02870;Credit Card;Paid
O02871;COD;Paid
O02872;Credit Card;Paid
O02873;QRIS;Failed
O02874;Transfer;Paid
O02875;QRIS;Paid
O02876;COD;Paid
O02877;Transfer;Paid
O02878;E-Wallet;Paid
O02879;Credit Card;Paid
O02880;QRIS;Paid
O02881;Transfer;Paid
O02882;Credit Card;Paid
O02883;E-Wallet;Failed
O02884;E-Wallet;Paid
O02885;COD;Failed
O02886;Transfer;Paid
O02887;E-Wallet;Failed
O02888;E-Wallet;Paid
O02889;E-Wallet;Paid
O02890;QRIS;Failed
O02891;Credit Card;Failed
O02892;Credit Card;Paid
O02893;Transfer;Paid
O02894;Credit Card;Paid
O02895;QRIS;Paid
O02896;QRIS;Failed
O02897;Transfer;Paid
O02898;E-Wallet;Paid
O02899;E-Wallet;Paid
O02900;QRIS;Paid
O02901;COD;Failed
O02902;COD;Paid
O02903;E-Wallet;Failed
O02904;Transfer;Paid
O02905;QRIS;Paid
O02906;E-Wallet;Paid
O02907;QRIS;Paid
O02908;Credit Card;Failed
O02909;Transfer;Paid
O02910;Transfer;Paid
O02911;Transfer;Failed
O02912;QRIS;Failed
O02913;E-Wallet;Paid
O02914;QRIS;Paid
O02915;QRIS;Failed
O02916;COD;Paid
O02917;E-Wallet;Paid
O02918;Transfer;Failed
O02919;COD;Paid
O02920;E-Wallet;Paid
O02921;Credit Card;Paid
O02922;QRIS;Paid
O02923;COD;Paid
O02924;COD;Failed
O02925;QRIS;Paid
O02926;QRIS;Paid
O02927;QRIS;Paid
O02928;Transfer;Paid
O02929;E-Wallet;Paid
O02930;E-Wallet;Paid
O02931;Credit Card;Paid
O02932;Credit Card;Failed
O02933;Transfer;Failed
O02934;Credit Card;Paid
O02935;COD;Failed
O02936;QRIS;Failed
O02937;Transfer;Paid
O02938;QRIS;Paid
O02939;Transfer;Paid
O02940;E-Wallet;Paid
O02941;QRIS;Paid
O02942;E-Wallet;Paid
O02943;QRIS;Paid
O02944;Transfer;Failed
O02945;Transfer;Failed
O02946;COD;Paid
O02947;COD;Failed
O02948;Transfer;Paid
O02949;E-Wallet;Paid
O02950;Transfer;Paid
O02951;Transfer;Failed
O02952;E-Wallet;Paid
O02953;COD;Paid
O02954;E-Wallet;Failed
O02955;QRIS;Paid
O02956;COD;Paid
O02957;QRIS;Paid
O02958;QRIS;Paid
O02959;COD;Failed
O02960;Credit Card;Paid
O02961;QRIS;Failed
O02962;QRIS;Paid
O02963;E-Wallet;Paid
O02964;QRIS;Paid
O02965;COD;Failed
O02966;E-Wallet;Paid
O02967;E-Wallet;Paid
O02968;Credit Card;Failed
O02969;E-Wallet;Paid
O02970;Transfer;Paid
O02971;E-Wallet;Failed
O02972;COD;Paid
O02973;COD;Paid
O02974;Credit Card;Failed
O02975;COD;Paid
O02976;Credit Card;Paid
O02977;COD;Paid
O02978;Credit Card;Paid
O02979;Credit Card;Paid
O02980;Credit Card;Failed
O02981;QRIS;Paid
O02982;QRIS;Paid
O02983;Transfer;Paid
O02984;Credit Card;Paid
O02985;Transfer;Paid
O02986;COD;Paid
O02987;E-Wallet;Paid
O02988;Transfer;Paid
O02989;QRIS;Failed
O02990;QRIS;Paid
O02991;COD;Failed
O02992;COD;Paid
O02993;QRIS;Paid
O02994;COD;Paid
O02995;Credit Card;Paid
O02996;Transfer;Paid
O02997;E-Wallet;Paid
O02998;QRIS;Paid
O02999;Credit Card;Paid
O03000;COD;Failed
O03001;Credit Card;Paid
O03002;QRIS;Paid
O03003;QRIS;Paid
O03004;Credit Card;Paid
O03005;COD;Paid
O03006;Credit Card;Paid
O03007;Credit Card;Paid
O03008;E-Wallet;Failed
O03009;Credit Card;Failed
O03010;Credit Card;Paid
O03011;COD;Paid
O03012;E-Wallet;Failed
O03013;E-Wallet;Paid
O03014;Transfer;Failed
O03015;E-Wallet;Paid
O03016;COD;Paid
O03017;Credit Card;Failed
O03018;Credit Card;Paid
O03019;Transfer;Paid
O03020;E-Wallet;Failed
O03021;Transfer;Paid
O03022;Transfer;Paid
O03023;Transfer;Failed
O03024;COD;Paid
O03025;Transfer;Paid
O03026;COD;Paid
O03027;COD;Failed
O03028;Credit Card;Failed
O03029;Transfer;Paid
O03030;QRIS;Failed
O03031;COD;Failed
O03032;E-Wallet;Paid
O03033;COD;Paid
O03034;E-Wallet;Paid
O03035;Credit Card;Paid
O03036;E-Wallet;Paid
O03037;COD;Paid
O03038;COD;Paid
O03039;Transfer;Paid
O03040;QRIS;Paid
O03041;Credit Card;Paid
O03042;E-Wallet;Paid
O03043;Transfer;Paid
O03044;COD;Paid
O03045;Transfer;Failed
O03046;COD;Paid
O03047;QRIS;Failed
O03048;COD;Paid
O03049;QRIS;Paid
O03050;Credit Card;Paid
O03051;QRIS;Paid
O03052;QRIS;Paid
O03053;COD;Paid
O03054;Credit Card;Paid
O03055;QRIS;Paid
O03056;Credit Card;Failed
O03057;Credit Card;Paid
O03058;Credit Card;Paid
O03059;Credit Card;Paid
O03060;Credit Card;Paid
O03061;E-Wallet;Paid
O03062;Transfer;Paid
O03063;QRIS;Paid
O03064;COD;Paid
O03065;QRIS;Paid
O03066;COD;Failed
O03067;QRIS;Paid
O03068;E-Wallet;Failed
O03069;Credit Card;Paid
O03070;Credit Card;Paid
O03071;QRIS;Paid
O03072;Credit Card;Paid
O03073;QRIS;Failed
O03074;Transfer;Failed
O03075;E-Wallet;Paid
O03076;Transfer;Paid
O03077;Credit Card;Paid
O03078;Credit Card;Paid
O03079;Credit Card;Paid
O03080;QRIS;Paid
O03081;E-Wallet;Failed
O03082;E-Wallet;Paid
O03083;QRIS;Paid
O03084;QRIS;Paid
O03085;Credit Card;Failed
O03086;COD;Paid
O03087;Credit Card;Paid
O03088;Credit Card;Paid
O03089;E-Wallet;Failed
O03090;Credit Card;Paid
O03091;QRIS;Failed
O03092;COD;Paid
O03093;E-Wallet;Paid
O03094;Transfer;Paid
O03095;Credit Card;Paid
O03096;COD;Paid
O03097;E-Wallet;Failed
O03098;COD;Paid
O03099;Credit Card;Paid
O03100;Transfer;Paid
O03101;QRIS;Paid
O03102;QRIS;Paid
O03103;Credit Card;Paid
O03104;Transfer;Failed
O03105;Credit Card;Paid
O03106;E-Wallet;Paid
O03107;COD;Paid
O03108;COD;Paid
O03109;COD;Paid
O03110;Credit Card;Paid
O03111;E-Wallet;Paid
O03112;Credit Card;Paid
O03113;Transfer;Paid
O03114;QRIS;Paid
O03115;Transfer;Paid
O03116;QRIS;Failed
O03117;COD;Paid
O03118;Transfer;Paid
O03119;Credit Card;Failed
O03120;QRIS;Paid
O03121;COD;Paid
O03122;Transfer;Paid
O03123;E-Wallet;Paid
O03124;QRIS;Paid
O03125;Transfer;Failed
O03126;COD;Paid
O03127;QRIS;Paid
O03128;Transfer;Failed
O03129;E-Wallet;Paid
O03130;COD;Paid
O03131;Transfer;Paid
O03132;Credit Card;Paid
O03133;QRIS;Paid
O03134;Credit Card;Paid
O03135;QRIS;Failed
O03136;QRIS;Paid
O03137;E-Wallet;Failed
O03138;Transfer;Paid
O03139;E-Wallet;Paid
O03140;QRIS;Failed
O03141;Credit Card;Failed
O03142;QRIS;Paid
O03143;Credit Card;Paid
O03144;QRIS;Paid
O03145;QRIS;Paid
O03146;QRIS;Paid
O03147;Transfer;Paid
O03148;COD;Paid
O03149;E-Wallet;Paid
O03150;Credit Card;Paid
O03151;COD;Failed
O03152;COD;Paid
O03153;COD;Failed
O03154;Credit Card;Paid
O03155;COD;Paid
O03156;E-Wallet;Paid
O03157;Credit Card;Failed
O03158;COD;Paid
O03159;QRIS;Paid
O03160;E-Wallet;Failed
O03161;COD;Paid
O03162;E-Wallet;Paid
O03163;E-Wallet;Paid
O03164;QRIS;Failed
O03165;QRIS;Failed
O03166;QRIS;Paid
O03167;Transfer;Paid
O03168;E-Wallet;Paid
O03169;QRIS;Paid
O03170;Transfer;Paid
O03171;Credit Card;Failed
O03172;Transfer;Paid
O03173;E-Wallet;Paid
O03174;Transfer;Paid
O03175;Credit Card;Paid
O03176;Credit Card;Failed
O03177;Transfer;Paid
O03178;COD;Paid
O03179;Transfer;Paid
O03180;Transfer;Failed
O03181;Transfer;Paid
O03182;Transfer;Paid
O03183;QRIS;Paid
O03184;COD;Paid
O03185;QRIS;Paid
O03186;E-Wallet;Paid
O03187;Transfer;Paid
O03188;Credit Card;Failed
O03189;QRIS;Paid
O03190;Credit Card;Failed
O03191;E-Wallet;Paid
O03192;QRIS;Failed
O03193;COD;Paid
O03194;COD;Paid
O03195;Credit Card;Paid
O03196;E-Wallet;Paid
O03197;COD;Paid
O03198;COD;Paid
O03199;Transfer;Paid
O03200;COD;Failed
O03201;COD;Failed
O03202;Credit Card;Paid
O03203;QRIS;Paid
O03204;QRIS;Paid
O03205;Credit Card;Paid
O03206;COD;Failed
O03207;Transfer;Paid
O03208;Transfer;Paid
O03209;COD;Paid
O03210;Credit Card;Paid
O03211;COD;Failed
O03212;COD;Paid
O03213;Transfer;Paid
O03214;QRIS;Paid
O03215;QRIS;Failed
O03216;Transfer;Paid
O03217;Transfer;Paid
O03218;COD;Paid
O03219;COD;Paid
O03220;COD;Failed
O03221;QRIS;Paid
O03222;Credit Card;Failed
O03223;COD;Failed
O03224;Transfer;Paid
O03225;COD;Failed
O03226;Transfer;Failed
O03227;COD;Paid
O03228;COD;Paid
O03229;E-Wallet;Failed
O03230;QRIS;Paid
O03231;COD;Paid
O03232;COD;Failed
O03233;E-Wallet;Paid
O03234;Credit Card;Failed
O03235;COD;Failed
O03236;COD;Paid
O03237;COD;Paid
O03238;E-Wallet;Failed
O03239;Credit Card;Paid
O03240;QRIS;Failed
O03241;QRIS;Failed
O03242;QRIS;Paid
O03243;QRIS;Paid
O03244;QRIS;Failed
O03245;Credit Card;Paid
O03246;COD;Paid
O03247;QRIS;Failed
O03248;Transfer;Paid
O03249;QRIS;Paid
O03250;COD;Paid
O03251;E-Wallet;Paid
O03252;Credit Card;Failed
O03253;Transfer;Paid
O03254;COD;Paid
O03255;E-Wallet;Paid
O03256;E-Wallet;Paid
O03257;Credit Card;Paid
O03258;Transfer;Paid
O03259;Transfer;Failed
O03260;Transfer;Paid
O03261;COD;Paid
O03262;Transfer;Paid
O03263;Credit Card;Paid
O03264;Credit Card;Paid
O03265;E-Wallet;Paid
O03266;Credit Card;Failed
O03267;COD;Paid
O03268;Credit Card;Paid
O03269;QRIS;Paid
O03270;QRIS;Failed
O03271;Transfer;Paid
O03272;E-Wallet;Failed
O03273;COD;Failed
O03274;E-Wallet;Paid
O03275;COD;Failed
O03276;QRIS;Paid
O03277;Transfer;Paid
O03278;Transfer;Paid
O03279;Credit Card;Paid
O03280;Transfer;Paid
O03281;QRIS;Paid
O03282;COD;Paid
O03283;E-Wallet;Paid
O03284;Credit Card;Paid
O03285;E-Wallet;Paid
O03286;Credit Card;Failed
O03287;Credit Card;Failed
O03288;QRIS;Failed
O03289;COD;Failed
O03290;COD;Paid
O03291;QRIS;Failed
O03292;COD;Paid
O03293;Credit Card;Paid
O03294;Transfer;Paid
O03295;Transfer;Paid
O03296;QRIS;Paid
O03297;COD;Failed
O03298;Transfer;Paid
O03299;Transfer;Paid
O03300;QRIS;Paid
O03301;Credit Card;Paid
O03302;COD;Paid
O03303;QRIS;Failed
O03304;Credit Card;Failed
O03305;QRIS;Paid
O03306;COD;Failed
O03307;COD;Paid
O03308;Transfer;Paid
O03309;COD;Failed
O03310;QRIS;Paid
O03311;Transfer;Paid
O03312;Credit Card;Paid
O03313;E-Wallet;Failed
O03314;QRIS;Paid
O03315;Credit Card;Paid
O03316;Credit Card;Paid
O03317;Credit Card;Paid
O03318;Transfer;Failed
O03319;E-Wallet;Failed
O03320;COD;Paid
O03321;COD;Paid
O03322;Transfer;Paid
O03323;COD;Paid
O03324;Transfer;Failed
O03325;E-Wallet;Paid
O03326;COD;Paid
O03327;Credit Card;Failed
O03328;QRIS;Paid
O03329;E-Wallet;Paid
O03330;E-Wallet;Paid
O03331;QRIS;Paid
O03332;COD;Paid
O03333;Transfer;Paid
O03334;Transfer;Paid
O03335;Transfer;Paid
O03336;Transfer;Paid
O03337;COD;Paid
O03338;QRIS;Paid
O03339;E-Wallet;Paid
O03340;E-Wallet;Paid
O03341;Transfer;Paid
O03342;COD;Failed
O03343;COD;Paid
O03344;COD;Paid
O03345;COD;Failed
O03346;Transfer;Failed
O03347;E-Wallet;Paid
O03348;Transfer;Paid
O03349;Credit Card;Paid
O03350;E-Wallet;Paid
O03351;QRIS;Paid
O03352;COD;Paid
O03353;COD;Paid
O03354;Credit Card;Paid
O03355;Transfer;Paid
O03356;QRIS;Paid
O03357;COD;Paid
O03358;E-Wallet;Paid
O03359;E-Wallet;Paid
O03360;COD;Paid
O03361;Transfer;Paid
O03362;Credit Card;Paid
O03363;Credit Card;Paid
O03364;E-Wallet;Paid
O03365;Transfer;Failed
O03366;QRIS;Failed
O03367;Credit Card;Failed
O03368;COD;Paid
O03369;Credit Card;Paid
O03370;E-Wallet;Paid
O03371;Transfer;Failed
O03372;E-Wallet;Paid
O03373;Transfer;Failed
O03374;Credit Card;Paid
O03375;E-Wallet;Paid
O03376;E-Wallet;Paid
O03377;E-Wallet;Paid
O03378;E-Wallet;Paid
O03379;Credit Card;Paid
O03380;Transfer;Paid
O03381;QRIS;Paid
O03382;Transfer;Paid
O03383;E-Wallet;Paid
O03384;Credit Card;Failed
O03385;Transfer;Paid
O03386;Credit Card;Paid
O03387;COD;Failed
O03388;E-Wallet;Paid
O03389;Transfer;Paid
O03390;Credit Card;Paid
O03391;E-Wallet;Paid
O03392;E-Wallet;Paid
O03393;Transfer;Paid
O03394;COD;Paid
O03395;QRIS;Paid
O03396;Transfer;Paid
O03397;Credit Card;Failed
O03398;QRIS;Failed
O03399;Credit Card;Paid
O03400;E-Wallet;Paid
O03401;COD;Failed
O03402;Credit Card;Paid
O03403;E-Wallet;Failed
O03404;E-Wallet;Paid
O03405;COD;Paid
O03406;Credit Card;Failed
O03407;QRIS;Paid
O03408;Transfer;Failed
O03409;Credit Card;Paid
O03410;QRIS;Paid
O03411;QRIS;Failed
O03412;E-Wallet;Paid
O03413;Transfer;Failed
O03414;COD;Failed
O03415;Credit Card;Paid
O03416;QRIS;Failed
O03417;E-Wallet;Failed
O03418;COD;Failed
O03419;Transfer;Paid
O03420;Credit Card;Paid
O03421;Transfer;Failed
O03422;E-Wallet;Failed
O03423;Credit Card;Paid
O03424;E-Wallet;Failed
O03425;Transfer;Paid
O03426;Transfer;Paid
O03427;E-Wallet;Paid
O03428;QRIS;Paid
O03429;E-Wallet;Paid
O03430;Credit Card;Failed
O03431;QRIS;Paid
O03432;QRIS;Paid
O03433;COD;Paid
O03434;Transfer;Failed
O03435;Credit Card;Paid
O03436;QRIS;Paid
O03437;COD;Paid
O03438;QRIS;Paid
O03439;Transfer;Failed
O03440;COD;Paid
O03441;COD;Paid
O03442;E-Wallet;Paid
O03443;QRIS;Paid
O03444;COD;Paid
O03445;Transfer;Paid
O03446;Credit Card;Paid
O03447;Transfer;Failed
O03448;Credit Card;Paid
O03449;Transfer;Failed
O03450;E-Wallet;Paid
O03451;COD;Paid
O03452;Credit Card;Paid
O03453;Transfer;Paid
O03454;Transfer;Paid
O03455;Transfer;Failed
O03456;E-Wallet;Failed
O03457;Transfer;Failed
O03458;Credit Card;Paid
O03459;Credit Card;Paid
O03460;Credit Card;Paid
O03461;Credit Card;Paid
O03462;E-Wallet;Paid
O03463;Transfer;Paid
O03464;E-Wallet;Failed
O03465;Credit Card;Paid
O03466;QRIS;Paid
O03467;E-Wallet;Paid
O03468;E-Wallet;Paid
O03469;E-Wallet;Paid
O03470;COD;Paid
O03471;QRIS;Paid
O03472;Transfer;Paid
O03473;Transfer;Paid
O03474;Transfer;Paid
O03475;Credit Card;Failed
O03476;Credit Card;Paid
O03477;Transfer;Paid
O03478;QRIS;Paid
O03479;COD;Failed
O03480;E-Wallet;Paid
O03481;E-Wallet;Paid
O03482;COD;Paid
O03483;Transfer;Paid
O03484;QRIS;Paid
O03485;Credit Card;Paid
O03486;E-Wallet;Paid
O03487;E-Wallet;Paid
O03488;Credit Card;Failed
O03489;Transfer;Paid
O03490;Credit Card;Paid
O03491;E-Wallet;Failed
O03492;E-Wallet;Paid
O03493;QRIS;Paid
O03494;E-Wallet;Failed
O03495;QRIS;Paid
O03496;E-Wallet;Paid
O03497;QRIS;Paid
O03498;E-Wallet;Paid
O03499;QRIS;Paid
O03500;COD;Failed
O03501;E-Wallet;Paid
O03502;Credit Card;Paid
O03503;QRIS;Paid
O03504;Credit Card;Paid
O03505;QRIS;Paid
O03506;E-Wallet;Paid
O03507;Transfer;Paid
O03508;Transfer;Paid
O03509;QRIS;Paid
O03510;QRIS;Paid
O03511;QRIS;Failed
O03512;QRIS;Paid
O03513;COD;Paid
O03514;E-Wallet;Paid
O03515;COD;Failed
O03516;Credit Card;Paid
O03517;COD;Failed
O03518;QRIS;Paid
O03519;QRIS;Failed
O03520;COD;Paid
O03521;E-Wallet;Paid
O03522;E-Wallet;Paid
O03523;Credit Card;Paid
O03524;E-Wallet;Paid
O03525;Transfer;Paid
O03526;QRIS;Paid
O03527;Credit Card;Failed
O03528;QRIS;Failed
O03529;Transfer;Failed
O03530;Credit Card;Paid
O03531;E-Wallet;Paid
O03532;Credit Card;Failed
O03533;Credit Card;Paid
O03534;E-Wallet;Paid
O03535;Transfer;Paid
O03536;COD;Failed
O03537;Credit Card;Failed
O03538;E-Wallet;Paid
O03539;QRIS;Paid
O03540;Credit Card;Paid
O03541;Transfer;Failed
O03542;QRIS;Failed
O03543;COD;Failed
O03544;Credit Card;Paid
O03545;E-Wallet;Failed
O03546;Transfer;Failed
O03547;Transfer;Paid
O03548;Transfer;Failed
O03549;E-Wallet;Paid
O03550;E-Wallet;Failed
O03551;Credit Card;Failed
O03552;Credit Card;Paid
O03553;Transfer;Paid
O03554;COD;Paid
O03555;QRIS;Paid
O03556;Credit Card;Paid
O03557;QRIS;Paid
O03558;QRIS;Paid
O03559;Transfer;Paid
O03560;COD;Failed
O03561;E-Wallet;Paid
O03562;Transfer;Paid
O03563;E-Wallet;Paid
O03564;QRIS;Paid
O03565;E-Wallet;Paid
O03566;QRIS;Failed
O03567;E-Wallet;Failed
O03568;COD;Paid
O03569;QRIS;Paid
O03570;QRIS;Failed
O03571;COD;Paid
O03572;COD;Paid
O03573;Transfer;Paid
O03574;Credit Card;Paid
O03575;Transfer;Paid
O03576;COD;Paid
O03577;E-Wallet;Failed
O03578;E-Wallet;Paid
O03579;Transfer;Paid
O03580;Credit Card;Paid
O03581;QRIS;Paid
O03582;Credit Card;Paid
O03583;E-Wallet;Paid
O03584;Credit Card;Paid
O03585;QRIS;Failed
O03586;QRIS;Paid
O03587;Transfer;Paid
O03588;E-Wallet;Paid
O03589;E-Wallet;Failed
O03590;E-Wallet;Failed
O03591;QRIS;Failed
O03592;Transfer;Failed
O03593;E-Wallet;Paid
O03594;Transfer;Failed
O03595;QRIS;Paid
O03596;Credit Card;Paid
O03597;Credit Card;Failed
O03598;E-Wallet;Paid
O03599;E-Wallet;Paid
O03600;Transfer;Paid
O03601;Credit Card;Paid
O03602;QRIS;Failed
